timestamp,test-class,test-method,time,description,result
"2022-05-31 20:26:46.057","acme.testing.inventor.xx1.InventorXx1UpdateTest","positiveTest",24176,""[1] itemRecordIndex=14, recordIndex=0, code=po01-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/21 00:00, xx52=2022/08/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:26:58.026","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11545,""[1] itemRecordIndex=14, recordIndex=0, code=null, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:27:09.454","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11029,""[2] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=null, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:27:21.874","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11968,""[3] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=null, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:27:33.586","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11306,""[4] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=null, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:27:45.105","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11089,""[5] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=null, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:27:56.625","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11092,""[6] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=null, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:28:08.654","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11592,""[7] itemRecordIndex=14, recordIndex=0, code=po22-220401, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:28:20.453","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11416,""[8] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:28:32.684","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11829,""[9] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:28:44.883","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11783,""[10] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/05/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:28:56.801","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11455,""[11] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/02/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:29:08.275","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11072,""[12] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR -15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 20:29:19.828","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",11122,""[13] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=BTC 15,000.00, xx7=https://www.twitch.tv"","OK"
